Number of mutations	Number of positions with this many mutations	Number of CP 1 positions with this many mutations	Number of CP 2 positions with this many mutations	Number of CP 3 positions with this many mutations	Number of non-coding positions with this many mutations	Number of uni-mutational positions with this many mutations	Fraction of positions which are uni-mutational	Average uni-mutational fraction of positions with this many mutations
41	2	0	1	1	0	1	0.5	0.9878048780487805
42	2	0	1	0	1	0	0.0	0.7857142857142857
43	0	0	0	0	0	0	N/A	N/A
44	4	0	1	1	2	1	0.25	0.9829545454545454
45	0	0	0	0	0	0	N/A	N/A
46	2	0	1	0	1	1	0.5	0.9891304347826086
47	1	0	1	0	0	1	1.0	1.0
48	1	0	1	0	0	1	1.0	1.0
49	4	1	1	2	0	2	0.5	0.9897959183673469
50	1	1	0	0	0	1	1.0	1.0
51	2	0	1	1	0	1	0.5	0.9901960784313726
52	5	2	1	2	0	3	0.6	0.9884615384615385
53	3	1	0	2	0	1	0.3333333333333333	0.9874213836477987
54	7	1	3	1	2	2	0.2857142857142857	0.9603174603174602
55	4	1	0	3	0	1	0.25	0.9727272727272728
56	9	2	2	5	0	6	0.6666666666666666	0.9821428571428571
57	8	4	0	3	1	3	0.375	0.9824561403508771
58	12	4	2	3	3	7	0.5833333333333334	0.985632183908046
59	18	4	4	10	0	7	0.3888888888888889	0.9792843691148776
60	15	3	4	6	2	2	0.13333333333333333	0.9622222222222222
61	16	5	2	8	1	1	0.0625	0.9559426229508199
62	8	3	1	3	1	2	0.25	0.9516129032258064
63	5	1	0	4	0	0	0.0	0.9619047619047618
64	5	1	3	1	0	1	0.2	0.890625
65	2	0	0	1	1	0	0.0	0.9230769230769231
66	1	0	1	0	0	1	1.0	1.0
67	0	0	0	0	0	0	N/A	N/A
68	1	0	0	0	1	1	1.0	1.0
69	2	1	0	1	0	1	0.5	0.9347826086956521
70	2	0	1	0	1	0	0.0	0.9857142857142858
71	0	0	0	0	0	0	N/A	N/A
72	2	0	0	2	0	0	0.0	0.8125
73	1	0	1	0	0	1	1.0	1.0
74	1	0	0	1	0	1	1.0	1.0
75	2	0	0	0	2	0	0.0	0.92
76	1	1	0	0	0	0	0.0	0.9868421052631579
77	1	0	0	1	0	1	1.0	1.0
78	2	2	0	0	0	0	0.0	0.891025641025641
79	2	1	0	0	1	0	0.0	0.6455696202531646
80	0	0	0	0	0	0	N/A	N/A
81	3	0	0	1	2	1	0.3333333333333333	0.9176954732510287
82	1	0	0	1	0	0	0.0	0.9146341463414634
83	1	0	0	1	0	0	0.0	0.891566265060241
84	1	0	0	1	0	0	0.0	0.7023809523809523
85	0	0	0	0	0	0	N/A	N/A
86	1	0	1	0	0	0	0.0	0.8023255813953488
87	0	0	0	0	0	0	N/A	N/A
88	1	0	0	0	1	0	0.0	0.9886363636363636
89	0	0	0	0	0	0	N/A	N/A
90	0	0	0	0	0	0	N/A	N/A
91	0	0	0	0	0	0	N/A	N/A
92	0	0	0	0	0	0	N/A	N/A
93	0	0	0	0	0	0	N/A	N/A
94	0	0	0	0	0	0	N/A	N/A
95	0	0	0	0	0	0	N/A	N/A
96	0	0	0	0	0	0	N/A	N/A
97	0	0	0	0	0	0	N/A	N/A
98	0	0	0	0	0	0	N/A	N/A
99	0	0	0	0	0	0	N/A	N/A
100	0	0	0	0	0	0	N/A	N/A
101	0	0	0	0	0	0	N/A	N/A
102	0	0	0	0	0	0	N/A	N/A
103	0	0	0	0	0	0	N/A	N/A
104	0	0	0	0	0	0	N/A	N/A
105	0	0	0	0	0	0	N/A	N/A
106	1	0	0	1	0	0	0.0	0.5943396226415094
107	2	0	2	0	0	0	0.0	0.9672897196261683
108	0	0	0	0	0	0	N/A	N/A
109	0	0	0	0	0	0	N/A	N/A
110	0	0	0	0	0	0	N/A	N/A
111	0	0	0	0	0	0	N/A	N/A
112	0	0	0	0	0	0	N/A	N/A
113	0	0	0	0	0	0	N/A	N/A
114	0	0	0	0	0	0	N/A	N/A
115	0	0	0	0	0	0	N/A	N/A
116	0	0	0	0	0	0	N/A	N/A
117	0	0	0	0	0	0	N/A	N/A
118	0	0	0	0	0	0	N/A	N/A
119	0	0	0	0	0	0	N/A	N/A
120	0	0	0	0	0	0	N/A	N/A
121	0	0	0	0	0	0	N/A	N/A
122	0	0	0	0	0	0	N/A	N/A
123	0	0	0	0	0	0	N/A	N/A
124	0	0	0	0	0	0	N/A	N/A
125	0	0	0	0	0	0	N/A	N/A
126	0	0	0	0	0	0	N/A	N/A
127	0	0	0	0	0	0	N/A	N/A
128	0	0	0	0	0	0	N/A	N/A
129	0	0	0	0	0	0	N/A	N/A
130	0	0	0	0	0	0	N/A	N/A
131	0	0	0	0	0	0	N/A	N/A
132	0	0	0	0	0	0	N/A	N/A
133	0	0	0	0	0	0	N/A	N/A
134	1	0	0	0	1	0	0.0	0.9776119402985075
135	2	1	0	1	0	1	0.5	0.9555555555555555
136	2	1	1	0	0	2	1.0	1.0
137	1	0	1	0	0	0	0.0	0.9781021897810219
138	1	1	0	0	0	1	1.0	1.0
139	0	0	0	0	0	0	N/A	N/A
140	0	0	0	0	0	0	N/A	N/A
141	1	0	0	1	0	0	0.0	0.9858156028368794
142	0	0	0	0	0	0	N/A	N/A
143	1	0	0	1	0	0	0.0	0.986013986013986
144	2	0	0	2	0	0	0.0	0.9722222222222222
145	0	0	0	0	0	0	N/A	N/A
146	0	0	0	0	0	0	N/A	N/A
147	0	0	0	0	0	0	N/A	N/A
148	0	0	0	0	0	0	N/A	N/A
149	0	0	0	0	0	0	N/A	N/A
150	0	0	0	0	0	0	N/A	N/A
151	0	0	0	0	0	0	N/A	N/A
152	0	0	0	0	0	0	N/A	N/A
153	1	0	0	0	1	0	0.0	0.9934640522875817
154	0	0	0	0	0	0	N/A	N/A
155	0	0	0	0	0	0	N/A	N/A
156	0	0	0	0	0	0	N/A	N/A
157	0	0	0	0	0	0	N/A	N/A
158	0	0	0	0	0	0	N/A	N/A
159	0	0	0	0	0	0	N/A	N/A
160	1	1	0	0	0	1	1.0	1.0
161	0	0	0	0	0	0	N/A	N/A
162	1	0	0	1	0	0	0.0	0.9876543209876543
163	0	0	0	0	0	0	N/A	N/A
164	0	0	0	0	0	0	N/A	N/A
165	0	0	0	0	0	0	N/A	N/A
166	0	0	0	0	0	0	N/A	N/A
167	1	1	0	0	0	0	0.0	0.6467065868263473
168	0	0	0	0	0	0	N/A	N/A
169	1	0	1	0	0	0	0.0	0.6272189349112426
170	2	0	0	2	0	0	0.0	0.9941176470588236
171	0	0	0	0	0	0	N/A	N/A
172	6	1	2	3	0	4	0.6666666666666666	0.998062015503876
173	6	1	1	4	0	1	0.16666666666666666	0.9942196531791908
174	4	0	0	4	0	0	0.0	0.9913793103448276
175	3	2	0	1	0	0	0.0	0.9904761904761905
176	1	0	0	1	0	0	0.0	0.9772727272727273
177	1	1	0	0	0	0	0.0	0.9717514124293786
178	0	0	0	0	0	0	N/A	N/A
179	0	0	0	0	0	0	N/A	N/A
180	0	0	0	0	0	0	N/A	N/A
181	0	0	0	0	0	0	N/A	N/A
182	1	0	1	0	0	0	0.0	0.6538461538461539
183	2	0	0	2	0	1	0.5	0.9972677595628415
184	3	1	0	2	0	0	0.0	0.9927536231884058
185	1	0	1	0	0	1	1.0	1.0
186	2	1	1	0	0	1	0.5	0.9973118279569892
187	3	1	0	2	0	1	0.3333333333333333	0.9875222816399286
188	3	1	1	1	0	1	0.3333333333333333	0.9929078014184397
189	5	2	0	3	0	3	0.6	0.9185185185185185
190	1	0	0	1	0	1	1.0	1.0
191	6	1	1	4	0	2	0.3333333333333333	0.9886561954624783
192	7	2	1	4	0	2	0.2857142857142857	0.9925595238095238
193	4	1	0	3	0	1	0.25	0.983160621761658
194	1	0	0	1	0	1	1.0	1.0
195	0	0	0	0	0	0	N/A	N/A
196	0	0	0	0	0	0	N/A	N/A
197	1	0	0	1	0	0	0.0	0.9796954314720813
198	1	0	0	1	0	0	0.0	0.9848484848484849
199	0	0	0	0	0	0	N/A	N/A
200	0	0	0	0	0	0	N/A	N/A
201	0	0	0	0	0	0	N/A	N/A
202	0	0	0	0	0	0	N/A	N/A
203	0	0	0	0	0	0	N/A	N/A
204	0	0	0	0	0	0	N/A	N/A
205	0	0	0	0	0	0	N/A	N/A
206	0	0	0	0	0	0	N/A	N/A
207	0	0	0	0	0	0	N/A	N/A
208	0	0	0	0	0	0	N/A	N/A
209	0	0	0	0	0	0	N/A	N/A
210	0	0	0	0	0	0	N/A	N/A
211	0	0	0	0	0	0	N/A	N/A
212	0	0	0	0	0	0	N/A	N/A
213	0	0	0	0	0	0	N/A	N/A
214	0	0	0	0	0	0	N/A	N/A
215	1	0	1	0	0	1	1.0	1.0
216	0	0	0	0	0	0	N/A	N/A
217	0	0	0	0	0	0	N/A	N/A
218	0	0	0	0	0	0	N/A	N/A
219	0	0	0	0	0	0	N/A	N/A
220	0	0	0	0	0	0	N/A	N/A
221	0	0	0	0	0	0	N/A	N/A
222	0	0	0	0	0	0	N/A	N/A
223	0	0	0	0	0	0	N/A	N/A
224	0	0	0	0	0	0	N/A	N/A
225	0	0	0	0	0	0	N/A	N/A
226	0	0	0	0	0	0	N/A	N/A
227	0	0	0	0	0	0	N/A	N/A
228	0	0	0	0	0	0	N/A	N/A
229	0	0	0	0	0	0	N/A	N/A
230	0	0	0	0	0	0	N/A	N/A
231	0	0	0	0	0	0	N/A	N/A
232	0	0	0	0	0	0	N/A	N/A
233	0	0	0	0	0	0	N/A	N/A
234	0	0	0	0	0	0	N/A	N/A
235	0	0	0	0	0	0	N/A	N/A
236	0	0	0	0	0	0	N/A	N/A
237	0	0	0	0	0	0	N/A	N/A
238	0	0	0	0	0	0	N/A	N/A
239	0	0	0	0	0	0	N/A	N/A
240	0	0	0	0	0	0	N/A	N/A
241	0	0	0	0	0	0	N/A	N/A
242	0	0	0	0	0	0	N/A	N/A
243	0	0	0	0	0	0	N/A	N/A
244	0	0	0	0	0	0	N/A	N/A
245	0	0	0	0	0	0	N/A	N/A
246	0	0	0	0	0	0	N/A	N/A
247	0	0	0	0	0	0	N/A	N/A
248	0	0	0	0	0	0	N/A	N/A
249	0	0	0	0	0	0	N/A	N/A
250	0	0	0	0	0	0	N/A	N/A
251	0	0	0	0	0	0	N/A	N/A
252	0	0	0	0	0	0	N/A	N/A
253	0	0	0	0	0	0	N/A	N/A
254	0	0	0	0	0	0	N/A	N/A
255	0	0	0	0	0	0	N/A	N/A
256	0	0	0	0	0	0	N/A	N/A
257	0	0	0	0	0	0	N/A	N/A
258	0	0	0	0	0	0	N/A	N/A
259	0	0	0	0	0	0	N/A	N/A
260	0	0	0	0	0	0	N/A	N/A
261	0	0	0	0	0	0	N/A	N/A
262	1	0	1	0	0	0	0.0	0.7595419847328244
263	0	0	0	0	0	0	N/A	N/A
264	0	0	0	0	0	0	N/A	N/A
265	0	0	0	0	0	0	N/A	N/A
266	0	0	0	0	0	0	N/A	N/A
267	0	0	0	0	0	0	N/A	N/A
268	0	0	0	0	0	0	N/A	N/A
269	0	0	0	0	0	0	N/A	N/A
270	0	0	0	0	0	0	N/A	N/A
271	0	0	0	0	0	0	N/A	N/A
272	0	0	0	0	0	0	N/A	N/A
273	0	0	0	0	0	0	N/A	N/A
274	0	0	0	0	0	0	N/A	N/A
275	0	0	0	0	0	0	N/A	N/A
276	0	0	0	0	0	0	N/A	N/A
277	0	0	0	0	0	0	N/A	N/A
278	0	0	0	0	0	0	N/A	N/A
279	0	0	0	0	0	0	N/A	N/A
280	0	0	0	0	0	0	N/A	N/A
281	0	0	0	0	0	0	N/A	N/A
282	0	0	0	0	0	0	N/A	N/A
283	0	0	0	0	0	0	N/A	N/A
284	0	0	0	0	0	0	N/A	N/A
285	0	0	0	0	0	0	N/A	N/A
286	0	0	0	0	0	0	N/A	N/A
287	0	0	0	0	0	0	N/A	N/A
288	0	0	0	0	0	0	N/A	N/A
289	0	0	0	0	0	0	N/A	N/A
290	0	0	0	0	0	0	N/A	N/A
291	1	0	1	0	0	0	0.0	0.993127147766323
292	0	0	0	0	0	0	N/A	N/A
293	0	0	0	0	0	0	N/A	N/A
294	0	0	0	0	0	0	N/A	N/A
295	0	0	0	0	0	0	N/A	N/A
296	1	0	0	1	0	1	1.0	1.0
297	0	0	0	0	0	0	N/A	N/A
298	0	0	0	0	0	0	N/A	N/A
299	1	1	0	0	0	0	0.0	0.9899665551839465
300	4	2	1	1	0	1	0.25	0.9808333333333333
301	0	0	0	0	0	0	N/A	N/A
302	3	2	0	1	0	2	0.6666666666666666	0.9977924944812363
303	1	0	1	0	0	0	0.0	0.976897689768977
304	4	1	2	1	0	2	0.5	0.9958881578947368
305	2	0	0	2	0	1	0.5	0.9934426229508198
306	3	2	1	0	0	2	0.6666666666666666	0.9912854030501089
307	5	1	2	2	0	1	0.2	0.9921824104234528
308	4	1	1	2	0	3	0.75	0.9983766233766234
309	6	3	2	1	0	0	0.0	0.9811218985976268
310	5	0	1	4	0	1	0.2	0.973548387096774
311	0	0	0	0	0	0	N/A	N/A
312	0	0	0	0	0	0	N/A	N/A
313	1	0	0	1	0	0	0.0	0.9808306709265175
314	0	0	0	0	0	0	N/A	N/A
315	0	0	0	0	0	0	N/A	N/A
316	0	0	0	0	0	0	N/A	N/A
317	0	0	0	0	0	0	N/A	N/A
318	0	0	0	0	0	0	N/A	N/A
319	0	0	0	0	0	0	N/A	N/A
320	0	0	0	0	0	0	N/A	N/A
321	0	0	0	0	0	0	N/A	N/A
322	0	0	0	0	0	0	N/A	N/A
323	0	0	0	0	0	0	N/A	N/A
324	0	0	0	0	0	0	N/A	N/A
325	0	0	0	0	0	0	N/A	N/A
326	0	0	0	0	0	0	N/A	N/A
327	0	0	0	0	0	0	N/A	N/A
328	0	0	0	0	0	0	N/A	N/A
329	0	0	0	0	0	0	N/A	N/A
330	0	0	0	0	0	0	N/A	N/A
331	0	0	0	0	0	0	N/A	N/A
332	0	0	0	0	0	0	N/A	N/A
333	0	0	0	0	0	0	N/A	N/A
334	0	0	0	0	0	0	N/A	N/A
335	0	0	0	0	0	0	N/A	N/A
336	0	0	0	0	0	0	N/A	N/A
337	0	0	0	0	0	0	N/A	N/A
338	0	0	0	0	0	0	N/A	N/A
339	0	0	0	0	0	0	N/A	N/A
340	0	0	0	0	0	0	N/A	N/A
341	0	0	0	0	0	0	N/A	N/A
342	0	0	0	0	0	0	N/A	N/A
343	0	0	0	0	0	0	N/A	N/A
344	0	0	0	0	0	0	N/A	N/A
345	0	0	0	0	0	0	N/A	N/A
346	0	0	0	0	0	0	N/A	N/A
347	0	0	0	0	0	0	N/A	N/A
348	0	0	0	0	0	0	N/A	N/A
349	0	0	0	0	0	0	N/A	N/A
350	0	0	0	0	0	0	N/A	N/A
351	0	0	0	0	0	0	N/A	N/A
352	0	0	0	0	0	0	N/A	N/A
353	0	0	0	0	0	0	N/A	N/A
354	0	0	0	0	0	0	N/A	N/A
355	0	0	0	0	0	0	N/A	N/A
356	0	0	0	0	0	0	N/A	N/A
357	0	0	0	0	0	0	N/A	N/A
358	0	0	0	0	0	0	N/A	N/A
359	0	0	0	0	0	0	N/A	N/A
360	0	0	0	0	0	0	N/A	N/A
361	0	0	0	0	0	0	N/A	N/A
362	0	0	0	0	0	0	N/A	N/A
363	0	0	0	0	0	0	N/A	N/A
364	0	0	0	0	0	0	N/A	N/A
365	0	0	0	0	0	0	N/A	N/A
366	0	0	0	0	0	0	N/A	N/A
367	0	0	0	0	0	0	N/A	N/A
368	0	0	0	0	0	0	N/A	N/A
369	0	0	0	0	0	0	N/A	N/A
370	0	0	0	0	0	0	N/A	N/A
371	0	0	0	0	0	0	N/A	N/A
372	0	0	0	0	0	0	N/A	N/A
373	0	0	0	0	0	0	N/A	N/A
374	0	0	0	0	0	0	N/A	N/A
375	0	0	0	0	0	0	N/A	N/A
376	0	0	0	0	0	0	N/A	N/A
377	0	0	0	0	0	0	N/A	N/A
378	0	0	0	0	0	0	N/A	N/A
379	0	0	0	0	0	0	N/A	N/A
380	0	0	0	0	0	0	N/A	N/A
381	0	0	0	0	0	0	N/A	N/A
382	0	0	0	0	0	0	N/A	N/A
383	0	0	0	0	0	0	N/A	N/A
384	0	0	0	0	0	0	N/A	N/A
385	0	0	0	0	0	0	N/A	N/A
386	0	0	0	0	0	0	N/A	N/A
387	0	0	0	0	0	0	N/A	N/A
388	0	0	0	0	0	0	N/A	N/A
389	0	0	0	0	0	0	N/A	N/A
390	0	0	0	0	0	0	N/A	N/A
391	0	0	0	0	0	0	N/A	N/A
392	0	0	0	0	0	0	N/A	N/A
393	0	0	0	0	0	0	N/A	N/A
394	0	0	0	0	0	0	N/A	N/A
395	0	0	0	0	0	0	N/A	N/A
396	0	0	0	0	0	0	N/A	N/A
397	0	0	0	0	0	0	N/A	N/A
398	0	0	0	0	0	0	N/A	N/A
399	0	0	0	0	0	0	N/A	N/A
400	1	0	0	1	0	1	1.0	1.0
401	0	0	0	0	0	0	N/A	N/A
402	2	0	0	2	0	0	0.0	0.9975124378109452
403	0	0	0	0	0	0	N/A	N/A
404	0	0	0	0	0	0	N/A	N/A
405	1	0	1	0	0	1	1.0	1.0
406	0	0	0	0	0	0	N/A	N/A
407	0	0	0	0	0	0	N/A	N/A
408	0	0	0	0	0	0	N/A	N/A
409	0	0	0	0	0	0	N/A	N/A
410	1	0	0	1	0	1	1.0	1.0
411	0	0	0	0	0	0	N/A	N/A
412	1	1	0	0	0	0	0.0	0.9975728155339806
413	0	0	0	0	0	0	N/A	N/A
414	2	0	0	2	0	1	0.5	0.998792270531401
415	2	0	0	2	0	0	0.0	0.9927710843373494
416	0	0	0	0	0	0	N/A	N/A
417	0	0	0	0	0	0	N/A	N/A
418	0	0	0	0	0	0	N/A	N/A
419	0	0	0	0	0	0	N/A	N/A
420	1	1	0	0	0	0	0.0	0.9904761904761905
421	0	0	0	0	0	0	N/A	N/A
422	0	0	0	0	0	0	N/A	N/A
423	0	0	0	0	0	0	N/A	N/A
424	0	0	0	0	0	0	N/A	N/A
425	0	0	0	0	0	0	N/A	N/A
426	0	0	0	0	0	0	N/A	N/A
427	0	0	0	0	0	0	N/A	N/A
428	0	0	0	0	0	0	N/A	N/A
429	0	0	0	0	0	0	N/A	N/A
430	0	0	0	0	0	0	N/A	N/A
431	0	0	0	0	0	0	N/A	N/A
432	0	0	0	0	0	0	N/A	N/A
433	0	0	0	0	0	0	N/A	N/A
434	0	0	0	0	0	0	N/A	N/A
435	0	0	0	0	0	0	N/A	N/A
436	0	0	0	0	0	0	N/A	N/A
437	0	0	0	0	0	0	N/A	N/A
438	0	0	0	0	0	0	N/A	N/A
439	0	0	0	0	0	0	N/A	N/A
440	0	0	0	0	0	0	N/A	N/A
441	0	0	0	0	0	0	N/A	N/A
442	0	0	0	0	0	0	N/A	N/A
443	0	0	0	0	0	0	N/A	N/A
444	0	0	0	0	0	0	N/A	N/A
445	0	0	0	0	0	0	N/A	N/A
446	0	0	0	0	0	0	N/A	N/A
447	1	0	0	1	0	0	0.0	0.9910514541387024
448	0	0	0	0	0	0	N/A	N/A
449	0	0	0	0	0	0	N/A	N/A
450	0	0	0	0	0	0	N/A	N/A
451	0	0	0	0	0	0	N/A	N/A
452	0	0	0	0	0	0	N/A	N/A
453	0	0	0	0	0	0	N/A	N/A
454	0	0	0	0	0	0	N/A	N/A
455	0	0	0	0	0	0	N/A	N/A
456	0	0	0	0	0	0	N/A	N/A
457	0	0	0	0	0	0	N/A	N/A
458	2	1	0	1	0	1	0.5	0.99235807860262
459	0	0	0	0	0	0	N/A	N/A
460	1	0	0	1	0	0	0.0	0.9978260869565218
461	0	0	0	0	0	0	N/A	N/A
462	1	1	0	0	0	0	0.0	0.9891774891774892
463	1	1	0	0	0	0	0.0	0.9978401727861771
464	0	0	0	0	0	0	N/A	N/A
465	1	0	0	1	0	0	0.0	0.9935483870967742
466	2	1	0	1	0	2	1.0	1.0
467	2	1	0	1	0	2	1.0	1.0
468	4	0	1	3	0	1	0.25	0.9941239316239316
469	1	0	0	1	0	1	1.0	1.0
470	3	1	1	1	0	0	0.0	0.9609929078014185
471	3	1	0	2	0	1	0.3333333333333333	0.9943382873319179
472	2	0	1	1	0	0	0.0	0.9947033898305084
473	2	0	0	2	0	1	0.5	0.9968287526427062
474	2	0	0	2	0	0	0.0	0.9915611814345991
475	0	0	0	0	0	0	N/A	N/A
476	1	1	0	0	0	0	0.0	0.9810924369747899
477	0	0	0	0	0	0	N/A	N/A
478	0	0	0	0	0	0	N/A	N/A
479	0	0	0	0	0	0	N/A	N/A
480	0	0	0	0	0	0	N/A	N/A
481	0	0	0	0	0	0	N/A	N/A
482	0	0	0	0	0	0	N/A	N/A
483	0	0	0	0	0	0	N/A	N/A
484	0	0	0	0	0	0	N/A	N/A
485	0	0	0	0	0	0	N/A	N/A
486	0	0	0	0	0	0	N/A	N/A
487	0	0	0	0	0	0	N/A	N/A
488	0	0	0	0	0	0	N/A	N/A
489	0	0	0	0	0	0	N/A	N/A
490	0	0	0	0	0	0	N/A	N/A
491	0	0	0	0	0	0	N/A	N/A
492	0	0	0	0	0	0	N/A	N/A
493	0	0	0	0	0	0	N/A	N/A
494	0	0	0	0	0	0	N/A	N/A
495	1	0	0	1	0	1	1.0	1.0
496	0	0	0	0	0	0	N/A	N/A
497	2	1	0	1	0	1	0.5	0.9959758551307847
498	1	0	0	1	0	0	0.0	0.9959839357429718
499	0	0	0	0	0	0	N/A	N/A
500	0	0	0	0	0	0	N/A	N/A
501	0	0	0	0	0	0	N/A	N/A
502	0	0	0	0	0	0	N/A	N/A
503	0	0	0	0	0	0	N/A	N/A
504	0	0	0	0	0	0	N/A	N/A
505	0	0	0	0	0	0	N/A	N/A
506	0	0	0	0	0	0	N/A	N/A
507	0	0	0	0	0	0	N/A	N/A
508	0	0	0	0	0	0	N/A	N/A
509	0	0	0	0	0	0	N/A	N/A
510	0	0	0	0	0	0	N/A	N/A
511	0	0	0	0	0	0	N/A	N/A
512	0	0	0	0	0	0	N/A	N/A
513	0	0	0	0	0	0	N/A	N/A
514	0	0	0	0	0	0	N/A	N/A
515	0	0	0	0	0	0	N/A	N/A
516	0	0	0	0	0	0	N/A	N/A
517	1	0	0	1	0	0	0.0	0.9980657640232108
518	0	0	0	0	0	0	N/A	N/A
519	0	0	0	0	0	0	N/A	N/A
520	0	0	0	0	0	0	N/A	N/A
521	1	0	0	1	0	0	0.0	0.9961612284069098
522	0	0	0	0	0	0	N/A	N/A
523	0	0	0	0	0	0	N/A	N/A
524	0	0	0	0	0	0	N/A	N/A
525	0	0	0	0	0	0	N/A	N/A
526	1	0	0	1	0	0	0.0	0.9980988593155894
527	0	0	0	0	0	0	N/A	N/A
528	0	0	0	0	0	0	N/A	N/A
529	0	0	0	0	0	0	N/A	N/A
530	0	0	0	0	0	0	N/A	N/A
531	0	0	0	0	0	0	N/A	N/A
532	0	0	0	0	0	0	N/A	N/A
533	0	0	0	0	0	0	N/A	N/A
534	1	1	0	0	0	1	1.0	1.0
535	0	0	0	0	0	0	N/A	N/A
536	0	0	0	0	0	0	N/A	N/A
537	0	0	0	0	0	0	N/A	N/A
538	0	0	0	0	0	0	N/A	N/A
539	0	0	0	0	0	0	N/A	N/A
540	1	1	0	0	0	0	0.0	0.9611111111111111
541	0	0	0	0	0	0	N/A	N/A
542	0	0	0	0	0	0	N/A	N/A
543	0	0	0	0	0	0	N/A	N/A
544	0	0	0	0	0	0	N/A	N/A
545	0	0	0	0	0	0	N/A	N/A
546	0	0	0	0	0	0	N/A	N/A
547	0	0	0	0	0	0	N/A	N/A
548	2	1	0	1	0	1	0.5	0.9990875912408759
549	0	0	0	0	0	0	N/A	N/A
550	0	0	0	0	0	0	N/A	N/A
551	0	0	0	0	0	0	N/A	N/A
552	0	0	0	0	0	0	N/A	N/A
553	0	0	0	0	0	0	N/A	N/A
554	1	0	1	0	0	0	0.0	0.9981949458483754
555	0	0	0	0	0	0	N/A	N/A
556	1	1	0	0	0	0	0.0	0.9784172661870504
557	0	0	0	0	0	0	N/A	N/A
558	0	0	0	0	0	0	N/A	N/A
559	0	0	0	0	0	0	N/A	N/A
560	1	0	0	1	0	1	1.0	1.0
561	0	0	0	0	0	0	N/A	N/A
562	1	0	1	0	0	0	0.0	0.99644128113879
563	1	0	1	0	0	0	0.0	0.9928952042628775
564	1	1	0	0	0	1	1.0	1.0
565	0	0	0	0	0	0	N/A	N/A
566	1	1	0	0	0	0	0.0	0.9664310954063604
567	4	2	2	0	0	0	0.0	0.9894179894179894
568	0	0	0	0	0	0	N/A	N/A
569	0	0	0	0	0	0	N/A	N/A
570	2	0	1	1	0	1	0.5	0.9991228070175439
571	0	0	0	0	0	0	N/A	N/A
572	0	0	0	0	0	0	N/A	N/A
573	3	1	1	1	0	0	0.0	0.995346131471786
574	4	1	1	2	0	1	0.25	0.9930313588850175
575	1	0	0	1	0	0	0.0	0.991304347826087
576	0	0	0	0	0	0	N/A	N/A
577	1	0	0	1	0	0	0.0	0.9965337954939342
